Model,,FEDformer,Autoformer,Informer,LogTrans,Reformer,Transformer,Promotion
MSE,,Ori Decomp Ori Decomp Ori Decomp Ori Decomp Ori Decomp Ori Decomp Relative,,,,,,
Out Len,"96
192
336
720","0.457 0.203 0.581 0.255 0.365 0.354 0.768 0.231 0.658 0.218 0.604 0.204 53%
0.841 0.269 1.403 0.281 0.533 0.432 0.989 0.378 1.078 0.336 1.060 0.266 62%
1.451 0.325 2.632 0.339 1.363 0.481 1.334 0.362 1.549 0.366 1.413 0.375 75%
3.282 0.421 3.058 0.422 3.379 0.822 3.048 0.539 2.631 0.502 2.672 0.537 82%",,,,,,
